IDPLATILLO,PLATILLO,CALORIAS
1197,'Bisteces de puerco en salsa mora con nopales',100.0
1202,'Chuletas en salsa verde con nopales',100.0
1203,'Tortitas de brócoli',100.0
1209,'Lengua de res en entomatado',100.0
1217,'Fusilli en salsa roja navidad',100.0
1222,'Costillas de res en salsa mora con nopales',100.0
1223,'Pollo en salsa de habas',100.0
1226,'Chayotes al perejil 15 de sep',100.0
1227,'Ensalada del huerto 10 de mayo',100.0
1228,'Ensalada mediterranea navidad',100.0
1229,'Rollo de pescado navidad',100.0
1230,'Tortitas de camaron navidad',100.0
1231,'Papas bravas navidad',100.0
1232,'Pechugas cordon blue navidad',100.0
1233,'Verduras a la mantequilla navidad',100.0
1234,'Pechugas al ajonjoli navidad',100.0
1235,'Pechugas a la mostaza navidad',100.0
1236,'Costillas de cerdo bbq navidad',100.0
1237,'Lomo de cerdo enchilado navidad',100.0
1238,'Lomo de cerdo a la naranja navidad',100.0
1239,'Pierna adobada navidad',100.0
1241,'Camarones a la brava 10 de mayo',100.0
491,'Tortitas de avena',100.0
493,'Flor de calabaza rellena de queso',100.0
494,'Pollo al queso',100.0
496,'Champiñones a las finas hierbas',100.0
497,'Niño envuelto de vainilla',100.0
498,'Pollo Adela ',100.0
499,'Chileancho relleno de atún',100.0
501,'Moronga en salsa verde',100.0
502,'Macarrón a la toscana',100.0
503,'Calabacitas rellenas de verduras',100.0
504,'Espinosos rellenos de jamón y queso',100.0
505,'Gelatina de mosaico imperial',100.0
507,'Huevos Florentinos',100.0
508,'Ensalada Rocío',100.0
509,'Callos a la española',100.0
510,'Pechuga mixteca',100.0
511,'Costillas al pimentón ',100.0
512,'Crema de brócoli',100.0
513,'Fusilli al queso ',100.0
514,'Ensalada Florencia ',100.0
515,'Pechugas Philaldelphia',100.0
518,'Pechugas reales',100.0
521,'Pechugas Reyna',100.0
524,'Costillas de roast beef supremas',100.0
527,'Quesadillas de huitlacoche',100.0
531,'Quesadillas de champiñones con queso',100.0
532,'Pastel de carne oriental',100.0
533,'Ensalada China',100.0
534,'Chícharos con huevo',100.0
536,'Chambarete en amarillito',100.0
537,'Alitas a la bbq',100.0
539,'Chambarete en caldo gallego',100.0
540,'Manitas de puerco a la vinagreta ',100.0
542,'Arroz amarillo con ejote y morrón',100.0
544,null,100.0
545,'Calabacitas rellenas de queso manchego',100.0
546,'Pozole rojo',100.0
548,'Pambazos de papa con chorizo',100.0
549,'Mixiotes de carnero con puerco',100.0
550,'Empanadas de bacalao',100.0
553,'Verduras mediterráneas',100.0
554,'Pollo en salsa de champiñones',100.0
555,'Quintoniles en su jugo',100.0
557,'Pollo tapado',100.0
559,'Carne Borgoña',100.0
560,'Codo valenciano',100.0
562,'Tortitas de coliflor',100.0
563,'Nopales gratinados al horno',100.0
567,'Fajitas serranas',100.0
568,'Lomo estilo Canarias',100.0
569,'Empanadas de carne con papas',100.0
571,'Lengua de res a la alcaparra',100.0
573,'Pechugas Virginia',100.0
574,'Pollo caribeño',100.0
576,'Cuete almendrado',100.0
577,'Chuletas Potosinas',100.0
579,'Chayotextle relleno de queso con chiles cuaresmeños',100.0
580,'Cuaresmeños rellenos de queso manchego',100.0
